Name,Brand,Description,Notes,Cleaned_Description
nocturnal poetry parfum,PRIN," Who says a nightmare needs to be a bad experience? In the talented imagination of Prin Lomros, the surreal feeling that accompanies an unsettling dream is sublime inspiration. This sensation is captured to enchanting effect in Nocturnal Poetry, a lush, intoxicating floral with the spicy, animalic complexity that PRIN is known for. A cool, green and thorny bouquet of violet, champaca, and rose sits in a misty fog of incense and myrrh, kissed with sweet, earthy notes of beeswax, hay, and coffee. A dark base of oud, animalics and leather beckons with provocative mystery, but Lomros always keeps Nocturnal Poetry from becoming too unsettling- ultimately, this dreamlike floral is a journey anyone will enjoy taking."," Violet, champaca, rosewood, beeswax, frankincense, myrrh, coffee bean, rose, tobacco, hay, jasmine, leather, castoreum, hyrax, civet, musk, oud, turmeric, cumin",say nightmare need bad experience talented imagination prin lomros surreal feel accompanie unsettling dream sublime inspiration sensation capture enchanting effect nocturnal poetry lush intoxicate floral spicy animalic complexity prin know cool green thorny bouquet violet champaca rise sit misty fog incense myrrh kiss sweet earthy note beeswax hay coffee dark base oud animalics leather beckon provocative mystery lomros always keep nocturnal poetry become unsettling ultimately dreamlike floral journey anyone enjoy take
homa parfum,PRIN," Sanskrit for a sacred Hindu fire ritual, Homa is a sumptuously complex blend of spices, florals, and animalics to elevate both spirit and consciousness. Using fire as the direct messenger between humans and gods, Homa transmutes these exotic ingredients into something simultaneously rich and earthy, but also transcendent and ethereal, weaving threads of smoke, ash, ozone and incense into the fragrant blend to represent the journey of these sacred offerings into the realm of the spirits. There's more than enough sophistication to satisfy lovers of Prin's deepest, most animalic elixirs- dark oud, earthy mushroom, and (natural, cruelty-free) fossilized hyrax and goat hair lend primal intensity, but Homa is balanced with bright, sparkling airiness that make it wonderfully wearable. For those looking to commune with the heavens, Homa is a sacred ritual safe to perform anytime."," Cinnamon, ginger, black pepper, cardamom, cassia, cumin, turmeric, caraway, nutmeg, clove, saffron, hay, kaffir lime, oud, galbanum, ghee butter, jasmine, champaca, tuberose, beeswax, incense, myrrh, spikenard, costus, benzoin, ash, goat hair tincture, oud, mushroom, civet, hyrax",sanskrit sacred hindu fire ritual homa sumptuously complex blend spice floral animalics elevate spirit consciousness use fire direct messenger human god homa transmutes exotic ingredient something simultaneously rich earthy also transcendent ethereal weaving thread smoke ash ozone incense fragrant blend represent journey sacred offering realm spirit enough sophistication satisfy lover prin deep animalic elixirs dark oud earthy mushroom natural crueltyfree fossilize hyrax goat hair lend primal intensity homa balance bright sparkle airiness make wonderfully wearable look commune heavens homa sacred ritual safe perform anytime
koala extrait de parfum,Zoologist," A cloak of rich green velvet sweeps across the Australian horizon, the majestic eucalypt forest flattering every curve of the undulating landscape. Tucked high in the crook of a tree, the koala is oblivious to the mesmerizing views. It would rather curl into a ball and sleep off a feast of oily eucalyptus, the aromatic leaves that sustain it. Despite their sleepy demeanour and friendly expression, koalas are territorial creatures. Males mark the soaring trunks with their musk, establishing their dominance.Zoologist Koala opens with an invigorating blend of lemony honey and the sweet aroma of eucalyptus. They float above a blanket of black tea and spices, then draw you even deeper into musky amber and woods. The result is a unique and carefree scent that snuggles in around you, enveloping you in an embrace both playful and independent."," Eucalyptus, menthol honey gumdrops, mimosa, black tea, geranium, incense, spices, vetiver, musk, amber, oakmoss, vanilla, sandalwood",cloak rich green velvet sweep across australian horizon majestic eucalypt forest flattering every curve undulating landscape tucked high crook tree koala oblivious mesmerize view would rather curl ball sleep feast oily eucalyptus aromatic leave sustain despite sleepy demeanour friendly expression koalas territorial creature males mark soar trunk musk establish dominance zoologist koala open invigorate blend lemony honey sweet aroma eucalyptus float blanket black tea spice draw even deeply musky amber wood result unique carefree scent snuggle around envelop embrace playful independent
l'homme a la rose eau de parfum,Maison Francis Kurkdjian," Francis Kurkdjian has a talent for making masculines that balance French sophistication with modern style- classic enough to impress, cool enough to wear anywhere. And while he's already given men a sultry, evening rose with Lumiere Noire, his newest release reinvents the masculine rose as a fresh, bright, all-day sexy stunner. L'Homme A La Rose doesn't lack for floral strength, as it's built around a dynamic pair of two of the world's most renowned roses: deep, sweet Damask roses from Bulgaria, and smooth, fresh Centifolia rose from Grasse. A fruity, zesty grapefruit accord accentuates the floral roundness, while a dynamic ambery wood accord blends with aromatic sage for a contemporary, distinctive signature. A rose that any man will want atop his wardrobe, L'Homme A La Rose is a new standard for masculine florals."," Grapefruit, Damascene rose, amber woods accord, sage, Centifolia rose, labdanum",francis kurkdjian talent make masculine balance french sophistication modern style classic enough impress cool enough wear anywhere already give man sultry evening rise lumiere noire new release reinvent masculine rise fresh bright allday sexy stunner lhomme la rise not lack floral strength build around dynamic pair two world renowned rose deep sweet damask rose bulgaria smooth fresh centifolia rise grasse fruity zesty grapefruit accord accentuate floral roundness dynamic ambery wood accord blend aromatic sage contemporary distinctive signature rise man want atop wardrobe lhomme la rise new standard masculine floral
rozu eau de parfum,Aesop," The beauty of Aesop fragrances lies in their ability to elegantly balance between sophistication and naturalism- an Aesop scent is gorgeously refined, yet possessed with an unmistakable and primal connection to the raw materials from which it was created. So it shouldn't surprise anyone to hear that their foray into rose scents is no delicate young flower, but a lush, gorgeously green wild rose with vibrant shiso accords, woods and spice, and a light touch of sophisticated smoke. The rose note is sumptuously romantic, with enough floral fullness to make any rose lover swoon, but the eastern influence of the aromatics and guaiac wood impart a soulful spirituality that set Rozu apart. A beautiful floral that's every bit an Aesop scent, Rozu is a must try for rose lovers."," Rose, shiso, guaiac",beauty aesop fragrance lie ability elegantly balance sophistication naturalism aesop scent gorgeously refined yet possess unmistakable primal connection raw material create not surprise anyone hear foray rise scent no delicate young flower lush gorgeously green wild rise vibrant shiso accord wood spice light touch sophisticated smoke rise note sumptuously romantic enough floral fullness make rise lover swoon eastern influence aromatics guaiac wood impart soulful spirituality set rozu apart beautiful floral every bit aesop scent rozu must try rise lover
prends-moi eau de parfum,Isabey," Take me.It's a bold and forward statement in any era, and in the early 1930's, when Isabey first released Prends-Mois (as it was called then), it was shockingly controversial- and highly coveted. Now, the iconic scent has been relaunched as Prends-Moi, and we're pleased to report the fragrance housed in the emblematic red bottle has every bit of the passionate romanticism that turned heads almost a century before. Prends-Moi opens with a fiery spark of pink pepper, leading to a lush and daring contrast of florals in the heart- a light, innocent rose intertwined with bold, unapologetically carnal tuberose. The powdered elegance of lipstick is balanced against an almost animalic cocoa, representing a seduction both sophisticated and primal. Erotic, romantic, and classic, Prends-Moi is everything French perfume should be."," Bergamot, pink pepper, raspberry, rose, red satin lipstick, tuberose, cardamom, iris, cocoa, sandalwood, amber",take meit bold forward statement era early 1930s isabey first release prendsmois call shockingly controversial highly covet iconic scent relaunche prendsmoi pleased report fragrance house emblematic red bottle every bit passionate romanticism turn head almost century prendsmoi open fiery spark pink pepper lead lush dare contrast floral heart light innocent rise intertwine bold unapologetically carnal tuberose powder elegance lipstick balance almost animalic cocoa represent seduction sophisticated primal erotic romantic classic prendsmoi everything french perfume
eau de cuisine eau de parfum,Hilde Soliani," We've always known Hilde Soliani makes the most mouthwatering sweet scents out there, but being ""The Queen Of Gourmand"" doesn't begin and end with dessert. Eau de Cuisine, her tribute to longtime friend and renowned modern Italian chef Paolo Lo Priore, is a glorious main course of a fragrance, a spicy, savory, salty feast for the senses. A tribute to Chef Paolo's signature ""cucina convivale"" tasting experience, which emphasizes experimentation and creativity, this scent is a wonderful combination of flavors- the aquatic brine of the ocean, the sweetness of apricot and almond, the creaminess of fresh dairy, and a captivating melange of aromatic herbs and spices. It's a scent both bright and rich, lively and decadent, sure to appeal to lovers of aquatics, orientals, and gourmands alike. In other words, it's as unique as Hilde Soliani herself- not to mention her equally impressive foodie friends.","ocean, apricot, almond, fresh dairy, aromatic herbs, spices",always know hilde soliani make mouthwatere sweet scent queen gourmand not begin end dessert eau de cuisine tribute longtime friend renowned modern italian chef paolo lo priore glorious main course fragrance spicy savory salty feast sense tribute chef paolos signature cucina convivale taste experience emphasizes experimentation creativity scent wonderful combination flavor aquatic brine ocean sweetness apricot almond creaminess fresh dairy captivate melange aromatic herbs spice scent bright rich lively decadent sure appeal lover aquatics oriental gourmand alike word unique hilde soliani not mention equally impressive foodie friend
disobbedienza eau de parfum,Hilde Soliani," Disobedience does not have to be a bad thing. In the talented and unrestricted artistic imagination of a perfumer like Hilde Soliani, it represents risk-tasking, freedom, and creative liberation. Inspired by her time performing experimental theater, Disobbedienza is an olfactive tribute to blazing one's own path in the face of stultifying conformity. There are notes chosen for their symbolism- a black, rare rose, both dark and romantic; smoky, mysterious ash to represent the phoenix-like cycle of destruction and rebirth; and, as befitting the Queen of Gourmand, a sweet and spicy opening with the tantalizing fizz of fine champagne. As with many of Hilde's most distinctive and compelling offerings, Disobbedienza rejects easy categorization, and yet it's as wonderfully easy to wear as any of her magical creations. Break away from conformity- lose yourself in the whimsical, bold, and iconoclastic world of Disobbedienza today.","black rose, ash, champagne",disobedience not bad thing talented unrestricted artistic imagination perfumer like hilde soliani represent risktaske freedom creative liberation inspire time perform experimental theater disobbedienza olfactive tribute blaze one path face stultify conformity note choose symbolism black rare rise dark romantic smoky mysterious ash represent phoenixlike cycle destruction rebirth befitting queen gourmand sweet spicy opening tantalizing fizz fine champagne many hilde distinctive compelling offering disobbedienza reject easy categorization yet wonderfully easy wear magical creation break away conformity lose whimsical bold iconoclastic world disobbedienza today
vanille de tahiti eau de parfum,Perris Monte Carlo," Native to Central America, the plant of vanilla belongs to orchid family and grows in the humid tropical forests. The most vibrant of all the varieties is the Tahitensis. This vanilla is not extracted with solvents, but through a more natural and less invasive process, known as CO2 supercritical. This process preserves all the aromatic facets of its profile and ensures an extract of the highest purity. The captivating aroma of this powerful and exotic raw material brings to life the soft texture of the vanilla pod.Vanille de Tahiti is a symphony of warm, exotic and gentle sweet notes. An enveloping vanilla enriched with floral notes of ylang ylang and champaka, while enchanting warm notes of amber mingle with musk and sandalwood."," Absolute of Ylang Ylang, Absolute of Champaca, Vanilla of Tahiti CO2, Amber, Sandalwood, Musk",native central america plant vanilla belong orchid family grow humid tropical forest vibrant variety tahitensis vanilla not extract solvent natural less invasive process know co2 supercritical process preserve aromatic facet profile ensure extract high purity captivate aroma powerful exotic raw material bring life soft texture vanilla pod vanille de tahiti symphony warm exotic gentle sweet note envelop vanilla enrich floral note ylang ylang champaka enchanting warm note amber mingle musk sandalwood
gris charnel eau de parfum,BDK Parfums," Quai Saint-Bernard, near the Jardin des Plantes, the first couples arrive at the Tino-Rossi garden. As the night falls, the number of dancers increases and the bleachers fill up. Under the silver moon and the lights of the tourist barges that criss-cross the quay a few meters away, the bodies mingle to the rhythm of the music. It is then that two glances cross paths. A discreet invitation brings them to the center of the track. As if they were carried away, they dance in the heat of the night. From this hand-to-hand seduction punctuated by knowing smiles, they end up slipping away to give free flow to more carnal desires. In the early morning, the sheets give off a scent of sleepless nights, mischievous and lascivious embraces."," Fig, Black tea, Cardamom essence, Absolute of iris, Bourbon, vetiver, Sandalwood from India, Absolute of Tonka bean",quai saintbernard near jardin des plante first couple arrive tinorossi garden night falls number dancer increase bleachers fill silver moon light tourist barge crisscross quay meter away body mingle rhythm music two glance cross path discreet invitation bring center track carry away dance heat night handtohand seduction punctuate know smile end slip away give free flow carnal desire early morning sheet give scent sleepless night mischievous lascivious embrace
blackberry woods eau de parfum,Shay & Blue," Shay & Blue has a unique gift for playful sophistication- fragrances that can put a smile on your face and make your pulse elevate all at once. With its effortless combination of darkly sensual musky woods and glossy fruit notes, Blackberry Woods may be their most enchanting fusion yet. The delightful complexity is evident right from the start, with a sumptuous, mouthwatering harvest of sunny blackberry just bursting with joy, contrasted against a rich, green, and aromatic floral heart of neroli and lemon leaf. The aromatic sensuality carries into a base of darker, musky cypress wood, creating an alluring cocktail with a decidedly rebellious streak. If Blackberry Woods featured only the delicious blackberry opening, it would still be an instant summer favorite. What a gift, however, that this intoxicating, enchanting gem offers so much more."," Blackberry, neroli, lemon leaves, cypress",shay blue unique gift playful sophistication fragrance put smile face make pulse elevate effortless combination darkly sensual musky wood glossy fruit note blackberry wood may enchanting fusion yet delightful complexity evident right start sumptuous mouthwatere harvest sunny blackberry burst joy contrast rich green aromatic floral heart neroli lemon leaf aromatic sensuality carry base darker musky cypress wood create alluring cocktail decidedly rebellious streak blackberry wood feature delicious blackberry opening would still instant summer favorite gift however intoxicate enchanting gem offer much
lavande romaine eau de parfum,Perris Monte Carlo,"  At harvest time, evenings are filled with its aroma and the sunset is colored by the newly cut flowers strewn over the fields. The humble alembics installed near the reservoirs glow with red flames into the night.Lavender is so connected to Provence that often farmers don't realize that it was introduced during the Roman invasion which gave this region the designation of Provincia Romana' from which its name derives..Lavande Romaine captures the essence of these landscapes and the beauty of the lavender fields where flocks of blue butterfly's float in the air. A joyful fragrance that dances and sings a summer tune."," Lavender fine, Bleu Cedar, Cassis bourgeons, White Musk",harvest time evening fill aroma sunset color newly cut flower strew field humble alembics instal near reservoirs glow red flame night lavender connect provence often farmer not realize introduce roman invasion give region designation provincia romana name derive lavande romaine capture essence landscape beauty lavender field flock blue butterflys float air joyful fragrance dance sing summer tune
celestial eau de parfum,Electimuss," Heavenly, divine and of the gods. Gazing to the stars, the Romans were keen astronomers naming the planets after gods, and such was their belief in the power and influence of the skies over their destiny that they were also keen devotees of astrology.   The olibanum at the heart of this scent is a light, lemony incense with a conifer undertone, lifted by a spicy rose and underpinned by a warm woody base. Luminous, like the heavenly bodies which inspired it."," Saffron, raspberry, black pepper, olibanum, Indian rose absolut, Bulgarian rose, pepper, cedar, Paraguan guaiac wood, tonka",heavenly divine god gaze star romans keen astronomer name planet god belief power influence sky destiny also keen devotee astrology olibanum heart scent light lemony incense conifer undertone lift spicy rise underpin warm woody base luminous like heavenly body inspire
puritas eau de parfum,Electimuss," Inspired by Vesta, the Roman goddess of purity, home and hearth. Her purity of heart and promise of fertility were symbolized in the eternal flames burning in her temples.  Puritas has a graceful floral incense heart, with bright, peppery top notes and a warm spicy base.  Like its inspiration this fragrance has an eternal elegance, simplicity and a lightness of touch."," Elemi, pink pepper, absinthe, olibanum, rose, Indian tuberose absolut, geranium, labdanum, patchouli, tonka and amber",inspire vesta roman goddess purity home hearth purity heart promise fertility symbolize eternal flame burn temple puritas graceful floral incense heart bright peppery top note warm spicy base like inspiration fragrance eternal elegance simplicity lightness touch
thurible eau de parfum,Rook Perfumes," The best kept secret about incense in perfumery is how magically versatile it is- it can be smoky, of course, but also resinous and animalic, or sparkling and fresh, or opulent and narcotic. Thurible is the rare incense scent that seems to contain it all, a wonderfully complex ode to this beloved material that still coalesces into a beautifully wearable and stylish signature. A sweet, clove-forward spice and herb blend supplements the church-ier aspects of the incense- cool, smoky, and sheer- while warmer, more resinous facets intertwine with rich, earthy labdanum and patchouli. A third chord- clean, sparkling incense with fresh rose and oakmoss- pulls everything together with a timeless twinkle. A must-smell for all incense lovers, Thurible is a comfortably sophisticated incense scent we're head over heels for."," clove, ash, sage, black pepper, labdanum, incense, rose, patchouli, leather, ambergris and moss",good keep secret incense perfumery magically versatile smoky course also resinous animalic sparkle fresh opulent narcotic thurible rare incense scent seem contain wonderfully complex ode beloved material still coalesce beautifully wearable stylish signature sweet cloveforward spice herb blend supplement churchy aspect incense cool smoky sheer warm resinous facet intertwine rich earthy labdanum patchouli third chord clean sparkle incense fresh rise oakmoss pull everything together timeless twinkle mustsmell incense lover thurible comfortably sophisticated incense scent head heel
